词条,创建年,摘要
闻鸡起舞蔡徐坤,2019,摘要： 闻鸡起舞蔡徐坤的来源和意思对蔡徐坤在偶像练习生中的自我介绍表演的恶搞和嘲讽。来源于蔡徐坤在自我介绍视频中的一段打篮球与舞蹈相结合的才艺展示表演。因为运球动作尴尬，舞蹈也有点喜感，在他出名后，这段视频被网
微命,2017,"摘要： 每吸一支烟,就消耗半个微命哦"
乳酸,2015,"摘要： 补课真是令男生蛋疼,女生乳酸啊"
躺平,2021,摘要： 意思即年轻人为了对抗社会内卷化，降低欲望，不结婚不生子不工作不消费，或者一年工作两三个月，挣点只够生存的钱就躺在家里，无欲无求，纯粹为了不死，把对生活的欲望降为活着，每天除了吃饭，手机费或者房租，没有其
1欲症,2019,摘要： 1欲症的来源和意思1欲症又称1欲障碍，以显著而持久的对1的渴望为主要临床特征。临床可见媒体只想1与永远没有1，部分病例有明显的幻想，严重者可以出现幻觉、打鸣等精神病性症状1欲症
小拳拳捶你胸口,2019,摘要： 最早源自一个女生在贴吧里晒出的和老公撒娇结果被怼的截图，后变成一种女生试探男友的游戏，玩法是：女生向自己的男友发送一段撒娇的话，观察对方的反应。
卡粉男孩,2019,摘要： 卡粉男孩的来源和意思演员郭京飞的绰号。因为其在电视剧《琅琊榜2》中扮演的角色濮阳缨的造型而得名。因为郭京飞在该剧中的底妆颜色与演员的肤色差距极大，粉底还十分厚重，显得既惨白又斑驳，违和感强烈，非常抢镜。
你怎么穿品如的衣服,2019,摘要： 意思是说:你好骚啊
剧透,2014,摘要： 剧透是把涉及剧情的作品（如小说、电视剧、电影、漫画、游戏等）的内容泄漏的行为，其内容通常是涉及故事核心或伏线，因此对于未曾观看原作的读者，在阅毕后欣赏原作时的兴致可能会减少。
兽耳难度,2019,摘要： 兽耳难度:当队友中出现玩家兽耳时，游戏难度自动晋升为兽耳难度，玩家兽耳会在开局五分钟后自动投降，队友需要在五分钟之内赢得比赛，此为“兽耳难度”。
我顶你个肺,2017,"摘要： 顶顶,我顶你个肺啊!"
私生饭,2020,摘要： 私生饭源于韩语???（Sasaeng fan），即私（?）人生（?）活的Fan（?）。
装犊子,2017,摘要： 又是一个源于东北方言的网络词语啊
天选招财猫,2019,摘要： 不仅能喜提10万颗鸡蛋、1万斤西瓜等价值千万的大礼自由分配，天猫618当天还会给他家乡下500万现金红包雨，拥有天选的幸运和招财的技能，因此被称为“天选招财猫”。人招财猫，全城皆锦鲤。
P月,2019,摘要： P月的来源和意思用华为p30pro手机拍摄出月亮的照片，像做过了特殊的图像处理（P：PS），不符合官方宣传。评测媒体爱否科技的王跃琨在其微博发了两张用“华为p30pro手机”拍摄出的月亮的照片，并认为“
猕猴桃女,2019,摘要： 猕猴桃女的来源和意思看起来毛毛躁躁不起眼，实际给人酸酸甜甜恋爱的感觉猕猴桃女的使用例句猕猴桃女的英文翻译
平成废物,2019,摘要： 平成废物的来源和意思指日本平成年代的年轻人。他们多沉迷网络和二次元，是资深宅男/女，没有上进心且软弱无能，对现实漠不关心，是不折不扣的废柴。他们信奉“逃避可耻但有用”，拒绝融入现代竞争社会，是无法被寄予
你是魔鬼吗,2020,摘要： 你是魔鬼吗的来源和意思这句话在网络上很常见，一般指的&nbsp;是别人说的话非常犀利，非常扎心等等&nbsp;，就会用这句话来感叹，用法同“扎心&nbsp;了老铁！”“秀儿是你吗？”等等语句。&nbsp
857,2020,摘要： 857的来源和意思指的是蹦迪的意思，来源于蹦迪神曲-《bow chi bow》和《feel my bass》副歌里面的空耳，如果你经常混迹于酒吧场所，那么你肯定马上就明白了。该梗最近火爆，主要来源于一个
傲娇受,2018,摘要： 傲娇、骄傲我都能明白并且合理使用，但是“傲娇受”是什么意思，“傲娇受”的出处在哪我却一脸懵逼
豪横,2020,摘要： 豪横的来源和意思原是北方方言，指豪迈、刚强之意，走红于《新世界》后，又增加了“霸气”“牛”“很好”等新含义。豪横的使用例句豪横的英文翻译
磨镜是什么意思,2019,"摘要： 磨镜是古代女同性恋之间的行为。在中国古代，女同性恋多称为""磨镜""，双方相互以厮磨或抚摩对方身体得到一定的性满足，由于双方有同样的身体结构，似乎在中间放置了一面镜子而在厮磨，故称""磨镜""。"
三位真火,2020,摘要： 三位真火的来源和意思是指主持人何炅、谢娜以及歌手易烊千玺三位艺人。在综艺节目《朋友请听好》中，何炅、谢娜和易烊千玺都是常驻嘉宾。该节目是三位嘉宾在节目中接听观众的来电，用声音陪伴听众，同时帮他们解惑、一
鸡腿姑娘,2019,摘要： 鸡腿姑娘的来源和意思梦中情人（有独特魅力、让人一见钟情、让人难忘的女孩）。吃鸡腿的姑娘。出自电视剧《庆余年》，男主范闲（张若昀饰演）与初恋林婉儿（李沁饰演）初遇之时，被她天仙一般的气质与美貌吸引，一见钟
杠杆,2018,摘要： 杠杆的来源和意思作为网络流行语的杠杆，可不是给我一根杠杆，我可以翘起地球中的杠杆，这里的意思是杠杆届标杆，指拥有高学历和文化素养的杠精，不用脏话也不阴阳怪气，简简单单一句话就你把你怼的心服口服，典型的代
快乐源泉,2018,摘要： 快乐源泉，网络流行语，没有什么隐晦的含义，就是“快乐的源泉”的意思。常用来形容一些比较有趣的人事物，能够带给自己欢乐。这时候我们就会说“这是我的快乐源泉”。
祖安人,2020,摘要： 祖安人的来源和意思指的是热门竞技游戏《英雄联盟》（LOL）中电信二区的玩家，因为电信二区就叫祖安（电信1 艾欧尼亚 电信2 祖安 电信3 诺克萨斯..），至于为什么祖安区的人能被成为关注的对象，是因为一
裸婚族,2014,摘要： 我国的房价是一涨再涨，成婚花销也是越来越多，在如此的大背景下，呈现了一批又一批的“裸婚族”，你是怎么看的呢？
被黑了,2014,摘要： 人家说看你这长相性能力一定很弱小，俺感觉又被黑了
戏精,2019,摘要： 作为网络流行语的该词其含义为形&nbsp;容某个人戏很多，很会给自己加戏，&nbsp;喜欢博眼球的意思。用法有褒又贬，&nbsp;褒义就是单纯的赞美很会演的意&nbsp;思，贬义就是爱作秀，说的通俗一点
哥练的胸肌,2018,摘要： 哥练的胸肌是什么梗，哥练的胸肌是什么意思，流行语百科带你解读
家里人知道吗,2019,摘要： 家里人知道吗的来源和意思用于嘲讽语境时，指“你现在的情况如果被知道内情的人看见了，是不是会引发不好的后果”，表达对方的做法或态度不受欢迎。语气较为温和的情况下则指“这可真是太厉害/搞笑/硬核/奇葩了”，
毒趴,2014,"摘要： 参加完淫趴,接下去参加毒趴去,好堕落的生活啊"
养鱼,2019,摘要： 养鱼的来源和意思在网络用语中，这里的鱼指备胎（有暧昧行为，但不是真正的恋爱关系的人），养鱼就是养备胎。衍生出了养鱼塘，就是和很多人都有暧昧关系，备胎有一大群。养鱼塘的主人会被称为海王（海王本是DC漫画中
把妹,2014,"摘要： 文雅的[求偶]、俗一点的[追女]、再粗一点的[泡妞],[把妹]就更粗了。"
蹭炮,2014,摘要： 跟着我的富二代朋友，天天蹭吃蹭喝蹭炮，爽歪歪啊。。
赵梓婷痛经,2019,摘要： 赵梓婷痛经的来源和意思粉丝用来评论，抖音红人赵梓婷的话。赵梓婷是辽宁沈阳人，说话自带东北社会人的感觉，而且她基本上每个抖音视频都是在说一些社会语录，而且还都非常押韵，仿佛已经参透人生真理，一副要告诫世人
吃货,2014,摘要： 从2012年开始因为《舌尖上的中国》上映，使得中华吃货们的队伍再一次壮大，你是不是其中一员呢？
表你如一,2019,摘要： 形容什么样的人用什么样的表情包，表情包和用户的形象是一模一样。表佛你佛，表雕你雕，表胖你胖
挖墙脚,2019,摘要： 比喻拆台&nbsp;。&nbsp;比喻从根本上损害别人&nbsp;在年轻人眼里的“挖墙脚”是指抢了拆散一对恋人而并且使得自己喜欢的一方成为自己的男（或女）朋友。虽然看上去很不道德，但是爱情的事情谁说的清
ABO,2020,摘要： 是三种生殖性别的缩写。在同人创作中经常出现的虚构世界观，即基于Alpha、Beta、Omega这三种生殖性别所构建的社会体系。三种生殖性别可与生理性别（即男、女）共存。
就很bad,2018,摘要： “就很bad”是网络上一个比较常见的流行语，少的可怜的英文词汇量让我见着bad都很有亲切感，那么到底作为网络语开始流行的“就很bad”是什么梗，流行语百科带你解读
大黄蜂,2019,摘要： 曾经是令人恐惧的蜂类昆虫。如今指某个巨大的智能机械生命体。也是雪佛莱科迈罗（Chevrolet&nbsp;Camaro）的别称。
形商,2014,摘要： 生活中，我们很难见到一位事业成功、积极向上的人是粗粗水桶腰、圆滚脖子、肥厚下巴。这是因为，身材与健康有直接相关，健康是事业、财富等的前提，管理不好身材一切等于零。这就是形商！
手子哥,2020,摘要： 手子哥的来源和意思是对现役英雄联盟LPL赛事TES战队中单选手Knight卓定的戏称。Knight作为队伍核心大腿，以左手使用鼠标、右手使用键盘的反常规操作却能Carry全场而著称，网友据此为其起名手子
鬼畜,2014,摘要： 鬼畜自然是来自变态的小日本罗
爱爱,2014,摘要： 俺已经性成熟了，俺想爱爱；求几本爱爱小说，要能激起欲望的哦
吉吉国王,2020,摘要： 吉吉国王的来源和意思看王者直播的的小伙伴对“吉吉国王”这个词应该不陌生，各个主播直播间弹幕被“玩猴用受这鸟气”和“吉吉国王乱杀”等新词刷屏。很多路人不明白为什么，小编今天就来告诉大家这是怎么火起来的。吉
蒙面坦克,2019,摘要： 蒙面坦克的来源和意思近日某直播平台主播“乔碧萝殿下”因平台故障导致直播时意外露脸，与其变声器改出的声音不同的是，其真实年龄目测为50+，加之微胖的体型，导致被称之为蒙面坦克。蒙面坦克的风波由于这种骚操作
残念,2014,摘要： 难得有时间想玩游戏爽一把，却停电了，真是残念啊
Low,2020,摘要： Low的来源和意思我们经常可以听到别人说你很low耶，表示的是你很土，或者很没品位，很低端，不优雅等意思。英文单词low本生的意思就是低的。同时low也可以用来形容一件东西，表示质量不好，山寨产品。lo
泪失禁患者,2019,摘要： 泪失禁患者的来源和意思指一类在吵架生气或是情绪激烈时容易流泪哭泣的人。虽然内心已经气炸，只想把对方暴揍一顿，但外在表现却是止不住地流眼泪，就像因为委屈或惊吓而哭一样。使人在并不想示弱的时候显得很弱鸡，吵
卧槽,2017,摘要： 卧槽尼玛这蛋疼的网速真是气死我了
女权主义,2021,摘要： 女权主义，又称女权、女性解放、性别平权主义，意为结束性歧视、性压迫和性别主义的黑暗现象，促进性别和阶层的平等。
矮大紧,2018,摘要： 经常看到大家刷“矮大紧”三个字，乍一听到的时候马上就联想到了了什么不得了的东西，那画面太美实在是不敢细想了，那么到底“矮大紧”是什么意思，“矮大紧”是什么梗，一起来看看吧
车牌,2019,摘要： 番号的别称，也被叫做车牌号。源于大家把有很多资源的人称为老司机的说法。因为老司机经常用资源来飚车，故番号也被叫做车牌
“你算哪块小饼干”,2019,摘要： “你算什么东西”的可爱说法。表达一种少女般的傲娇，看你不爽，随时吃掉你！据说这种用法来源于美剧《生活大爆炸》。剧中人物Sheldon为了避免说脏话，把son&nbsp;of&nbsp;bitch改成了s
他和他相爱,2019,摘要： 他和他相爱的来源和意思魏无羡肖战和蓝忘机王一博相爱。原句是出自歌手梁博《男孩》中的歌词“他和她相爱”。该梗现多被粉丝用来磕电视剧陈情令中忘羡CP时，刷评论或弹幕使用。它的由来是陈情令中蓝曦臣的扮演者刘海
碍情,2018,摘要： 碍情是什么情，他和爱情有什么关联呢，今天流行语百科就给你带了新的网络流行语碍情的解说
油菜花,2017,摘要： 有才华
水掉哥头,2019,摘要： 水掉哥头的来源和意思指百度CEO李彦宏演讲时遇到的突发事件：一位与会者突然冲上台拉住他，并把一瓶怡宝矿泉水浇在了他头上。与宏颜获水同义。也就是”矿泉水掉在了百度大哥李彦宏的头上“。该事件使李彦宏和百度数
A爆了,2019,摘要： A爆了的来源和意思在饭圈了经常出现的词，意思是很帅，很酷，可以用来形容自己的偶像或者你觉得很帅的人。最早出自同人圈abo的设定。a一般指比较强的人，比较厉害的人，b一般指普通人，o一般指比较弱的人。后来
非洲警告,2019,摘要： 非洲警告的来源和意思1.要把人派到非洲去了。来源于网络账号“朱一旦的枯燥生活”，该账号的系列视频主角是一位名叫朱一旦的人。视频中另一位角色：朱一旦的酒肉朋友，在出演时经常有瞪眼动作，且有时会荒诞地将视频
颜射,2017,摘要： 未经同意的颜射是对对方的侮辱哦
太空堡垒,2019,摘要： 指太过空闲无事可做而去看上海堡垒的人
查水表,2019,摘要： 在网络上一般用来警告某人做了在当时场景下的危险行为（多为政治敏感），需要小心。也指警察或执法部门在实施抓捕之前，使抓捕对象放松警惕的常见套路。同义词还有“开门，送快递！”“社区送温暖！”“查电表！”“开
石更,2019,摘要： 石更的来源和意思经常会在网络上看到石更这个词，那多小伙伴都一头雾水，今天小编就带你解密这个神秘的网络流行语究竟是什么意思，更正一下，应该说是邪恶的流行语，该词为象形文字，把硬字拆成了两个，（类似的有马叉
新闻联播体,2014,摘要： 新闻联播是我国中央电视台每天晚上七点半播出的一个新闻节目，从1978年开播，随着时代的发展，新闻节目的内容越来越贴近生活，从而衍生出一种新的文体，即“新闻联播体”。
橘子树,2019,摘要： 橘子树的来源和意思常以“我去砍颗橘子树”、“砍橘子树”等形式出现。表达对方的言论十分惊世骇俗，非常优秀。该梗源自朱自清《背影》里的一句话“我买几个橘子去。你就在此地，不要走动。”后来当有人发表非常精彩的
闪,2015,"摘要： 大便来也,速度闪人啊"
爱是一道光,2017,摘要： 最近经常看到“爱是一道光”表情包各种刷屏，“爱是一道光”是什么梗，“爱是一道光”的出处在哪里呢
乌拉,2019,"摘要： 乌拉的来源和意思乌拉（俄语：Ура!）在俄语里并没有具体的意思，通常用作表达强烈情感的语气词。俄国士兵在冲锋时通常高喊“乌拉！”，国内常译为“万岁！”，需要注意的是，一些译制片喜欢把其翻译成“杀！”"
蔡徐坤偷袭珍珠港,2020,摘要： 蔡徐坤偷袭珍珠港的来源和意思蔡徐坤可谓在网络上有太多纷争的人物，主要原因，有很多讨厌他的，也有很多喜欢他的，于是两排之间经常有很多口角纷争，之前也有过很多关于蔡徐坤的梗，闻鸡起舞蔡徐坤、打篮球的蔡徐坤等
嫉妒使我,2019,摘要： 嫉妒使我的来源和意思指“我因嫉妒而（作出某种行为或发生改变）”。该词后可接任何词汇或现象。例如“嫉妒使我面目全非”。最初的版本可能是“嫉妒使我丑陋”，调侃地表示自己因嫉妒到极点而面容扭曲，整个人都酸溜溜
风一样的女子,2014,摘要： 淑女、女汉子、白富美等都是对女子的一些称呼，那风一样的女子是什么意思呢？
杠杆,2018,摘要： 杠杆的来源和意思作为网络流行语的杠杆，可不是给我一根杠杆，我可以翘起地球中的杠杆，这里的意思是杠杆届标杆，指拥有高学历和文化素养的杠精，不用脏话也不阴阳怪气，简简单单一句话就你把你怼的心服口服，典型的代
吃土,2019,摘要： 指购物很疯狂，穷到只能吃土
任你一生一世逍遥,2019,摘要： 任你一生一世逍遥，反正最后还得死回来^O^^O^^O^^O^^O^^O^^O^^O^^O^
挽尊,2017,摘要： 挽尊的来源和意思挽尊真是一个令人蛋疼的词啊。&nbsp; &nbsp;意思还是蛮简单的，就是“挽救尊严”的缩写啦。通常用于论坛中，当楼主发完帖子后，长时间没有人回复（也就是楼主应该感觉很没有面子，没有尊
假摔帝,2014,摘要： “假摔帝”给管理者提出了应战，从根本上解决也存在必定的难度，这也考验着管理者的才智。关键在于要知道到其行动的危害性，对此有着明晰的责任知道。
你在想妈妈,2019,摘要： 你在想妈妈的来源和意思你在想妈妈是对笨手笨脚的或者反应慢的人一种称呼方式！是一种嘲讽语气，比如你跟你一个人说话，他等了好久才回答你，你就可以问他是不是在想妈妈，又比如开团的时候，队友没来，就对他说“你在
xxxx了解一下,2018,摘要： “xxxx了解一下”是最近网络上常见的流行语，关于“xxxx了解一下”是什么梗，“xxxx了解一下”出处在哪里，流行语百科带你解读
我怀疑你在开车 但是我没证据,2019,摘要： 我怀疑你在开车 但是我没证据的来源和意思我怀疑你在开车 但是我没证据的使用例句我怀疑你在开车 但是我没证据的英文翻译
皮相,2019,"摘要： 一般只对话小说里面，人物所使用的头像的人的姓名，一般是使用明星的照片当作皮相或者网红的当作皮相。&nbsp;&nbsp;一般来说，女生选择皮相时，大多数会选择韩国明星或中国明星，例如""李知恩""，"""
软饭硬吃,2015,"摘要： 除了下半身那jb玩意儿行,其它啥都不行,不得不软饭硬吃啊."
波妞喜欢宗介,2019,摘要： 波妞喜欢宗介的来源和意思出自宫崎骏的一部动画电影《悬崖上的金鱼姬》中的一句台词。波妞（女主）对宗介(男主)说的第一句话就是“波妞喜欢宗介！”然后宗介也回复“我也喜欢你！”。该片段被抖音一个作者与歌曲《朗
233333,2020,摘要： 233333的来源和意思233来源于猫扑表情第233号，是一张捶地大笑的表情，因此不少网友就喜爱在贴吧和论坛发帖的时候加上一句233，后来233就被广泛使用在各种场所了，23333的意思为啊哈哈哈哈，表
被动颓废,2019,摘要： 被动颓废的来源和意思本来很主动且愿意干的事情，一旦被催促，就会立马出现从身体到心灵全方位的抗拒。所有的学习、婚姻乃至生活各类琐事，除了当事人之外可以提醒，但请勿催促，催促会将主观意愿上的美好变为被动意义
逆天,2015,"摘要： 1.你Y的老是鼓吹奴隶社会好,那是逆天而行不顺应潮流啊"
我也想被阿一下,2018,摘要： 我也想被阿一下的来源和意思我也想被阿一下的意思是我也想被作为话题的中心人物被大家指名道姓的评论一下，批评一下，或者夸奖一下，其中的阿，指的是阿猫阿狗，比如你叫小花，那么这里就是阿花的意思，比如阿花今天又
肿么办,2017,"摘要： 女友要和俺分手,肿么办啊?"
完爆,2017,"摘要： 毛新宇少将完爆蒋友柏铁证20条,相当ok啊"
夏天感恩,2019,摘要： 每一次按下空调遥控板，都在心里默默感溦威利斯·开利，是他给了我第二条命；每次连上Wii，都在心里偷偷歌颂海蒂·拉玛，是她让我的生活更有意义。
小白,2017,摘要： 我爱小白
拒绝求爱体,2014,摘要： 对于如此“拒绝求爱体”中另类的表白回复内容，虽然无法确定其真实性，但是让许多网友感到很“励志”。就有网友提出：“要是当年有妹子跟我这么讲，我一定考得上清华。”这样的后悔话。
精神小伙,2020,摘要： 精神小伙的来源和意思原词指的就是很有精神的小伙子现在几乎特指土味小伙2020年，精神小伙演变成为年轻人调侃自己的新词汇：想要成为精神小伙，主要还得靠气质。精神小伙的使用例句精神小伙的英文翻译
呦西,2017,摘要： 哎呀我们班美女大大的有，呦西！
吃得准,2019,摘要： 吃得准的来源和意思原意是有把握。此处指能吃的东西，基本上都是湿垃圾，肯定能分得准。吃得准的使用例句吃得准吃得准的英文翻译
橘里橘气,2018,摘要： “橘里橘气”是最近常见的网络流行语，不得不承认“橘子”绝对是如今网络上的当红水果，几个大火的梗都跟它有着密切的关系，那么到底“橘里橘气”是什么意思，“橘里橘气”是什么梗，流行语百科带你解读。
三喵军团,2014,摘要： 输给乌拉圭队之后，英格兰队走到了被淘汰的边缘。有的球迷认为，英格兰队的低迷表现，配不上“三狮军团”的称号，“说是三只猫还差不多。”于是很快，就有人制作了恶搞图片，将英格兰队队徽上的三只狮子改成了三只猫，
隔壁小孩馋哭了,2018,摘要： 隔壁小孩馋哭了的来源和意思隔壁小孩馋哭了最早来自抖音一个美食视频玩家，该词是该玩家的一句口头禅，意思是什么东西都可以按照那种做法去做，非常好吃，好吃到隔壁小孩都馋哭，由于比较有趣，后面被网友引用进行评论
1450,2019,摘要： 1450的来源和意思现在已经成为台湾网络水军的代名词。台湾“农委会”今年编列1450万元新台币预算对外招标，以每月4万元以上薪资，招募至少四人在网络论坛等社交平台进行讯息实时澄清等工作。该一举动引起网友
匿了,2020,摘要： 匿了的来源和意思来源于知乎本意是 作者是知情人士，因为写这条答复透露了内情，利益相关怕引火烧身就匿名了。不过现在成为了装逼的一个标志。(注意：不能一棍子打死，本词条仅指装逼逞能这类，正确使用这词的网友还
我伙呆,2017,"摘要： 在美国一栋别墅可以用10美元买到,我伙呆啊"
要你寡,2019,摘要： 要你寡的来源和意思“要你管”的谐音，语出巴啦啦小魔仙中，小兰对游乐王子说：“你还在这里干嘛”游乐王子用不标准的普通话回答道：“要你管 要泥寡”，被网友称为“要你寡”来自于B站up主“桃子啊Taozii”
我可以,2020,摘要： 我可以的来源和意思指对一些初见的人怦然心动，或者对某件物品钟情，暗指对某些人事物喜欢。我可以的使用例句我可以的英文翻译
下面有请扁桃体发炎,2018,摘要： “下面有请扁桃体发炎”是最近一段时间以来网络上流行的网络词语，那么关于“下面有请扁桃体发炎”是什么梗，“下面有请扁桃体发炎”出处又在哪里呢，流行语百科带你解读
丑橘男,2019,摘要： 丑橘男的来源和意思外表又丑又黄，内里甜又实在丑橘男的使用例句丑橘男的英文翻译
同志,2017,"摘要： 随着时代的发展,同志这个词被玷污了"
地域拖油瓶,2018,摘要： 地域拖油瓶指的是某个地区的本地人做出了一些有悖于大家固有印象中的地域特征的事情。
下药综艺,2019,摘要： 下药综艺的来源和意思是指让人看起来很生气，心里很不舒服的综艺节目。来源于真人秀综艺节目《中餐厅》。在节目中，因为餐厅店长黄晓明过于霸道，甚至有点不讲理的做法让观众深感气愤。比如他的一些经典话语：“这是你
爪机,2017,摘要： 在线看电影太麻烦了，爪机无力啊
吃土,2019,摘要： 指购物很疯狂，穷到只能吃土
男票,2015,摘要： 男票你表酱紫嘛...
娘炮,2015,"摘要： 身上有根炮，可表现得娘娘腔,那么就是娘炮罗"
对冲,2019,摘要： 中庸哲学在生活中的优秀实践。如运动完奖励自己吃大餐，吃完火锅后赶紧吃点胃药，晚睡了一定要泡枸杞，等等。
双标,2020,摘要： 双标的来源和意思指的是对待不同的人，有着不同的标准，可以是我和你，也可以是他和他，比如要求别人不可以随地大小便，看到这种现象的时候他会喷别人，但是他自己却也经常这么干。简而言之，就是双重标准，通常我们称
out,2015,摘要： 只知道苹果是用来吃的?哎呀您已经out了
你懂的,2015,摘要： 求片，悬赏500分，至于什么片，你懂的
拍屁股,2019,摘要： 老湿鸡开车时想换姿势的动作大人吓唬小孩的常用口头禅????
甘霖娘,2018,摘要： “甘霖娘”是最近网络上的常见流行语，只听过二次元的各种萌娘，关于“甘霖娘”是什么梗，“甘霖娘”是什么意思
马上牛逼,2015,"摘要： 希望各位在新的一年里,马上牛逼"
先森,2017,摘要： 先森您好
新穷人,2019,摘要： 大多出生1990年代，受过高等教育，外表光鲜亮丽，拿着不错的薪水，追逐中产的品味和生活方式，虽然已经工作好几年，但几乎没有积蓄可言
合葬吗,2019,摘要： 合葬吗的来源和意思用于表白，直接明了，一步到位，不拐弯抹角的表白形式，指的内在意思是夫妻死后会合葬在一起。美女合葬吗，也就是说我想跟你白头偕老的意思注意，如果对于不知道这个梗的人，你用这句话表白，容易把
操蛋,2014,摘要： 这天气真几把操蛋；这操蛋的生活啊
南山必胜客,2020,摘要： 南山必胜客的来源和意思因为腾讯的法务部2013年至今已经创下29次诉讼不败的傲人成绩，因为腾讯本部在深圳南山区，诉讼大多由深圳南山区法院受理，所以被称为“南山必胜客”。——来自媒体“首同说法”南山必胜客
别人家的孩子,2019,摘要： 考得不好时，老妈来一句你看看别人家的孩子………考的那么好，再看看你套餐：别人家的老公/老婆别的班成绩别的班的同学别人的女朋友/男朋友这个时候，你需要做的就是怼！怼：你看看别人家的妈妈，哪像你那么粗暴，直
淫,2017,摘要： 男淫女淫大忙淫
从小聪明,2021,摘要： 从小聪明的来源和意思这个词，以前的含义更多的是长辈对于小辈的一种高度评价与赞美。但是现在这个词赋予了新的意思，用于嘲讽的意思，表示嘲讽某某某耍小聪明，同时也有表示同意认可的意思，具体含义得根据语境分析，
校长开房找我,2017,摘要： 很多人举着牌子说“校长开房来找我”是什么意思? 跟校长开房可以干什么？
把香放下,2019,摘要： 把香放下的来源和意思该词来源于知乎的一篇文章，文章大意为一个学生考试被老师卡主不让过，只有给钱才过，然后他在宿舍点了香，跟舍友说他的钱不是谁都能拿的，有钱拿，没命花，结果没过多久那个老师死掉了...因此
黑衣人,2019,"摘要： 黑衣人的来源和意思是指近期在香港参与暴乱的香港暴徒青年。因为他们都穿着黑上衣而被称为“黑衣人”。黑衣人现在在香港的行动已经变成了“黑色恐怖”,极大地影响了香港市民以及游客的正常生活。例如：在机场集会，占"
聪明的易休,2019,摘要： 聪明的易休的来源和意思指 易 烊 千 玺 发 布 “ 放 飞 申 请&nbsp; 单 ” 晒 出 请 假 理 由 ， 众 多 社 畜 十 分 羡 慕 并 受 到 启 发 ， 于 是 纷&nbsp; 纷
双手打字以示清白,2021,摘要： 双手打字以示清白的来源和意思表示的意思是我两只手都在打字，没有空伸出一只手去做其他污污的事情，至于做什么事情，应该都能懂的吧？？？别跟我说你不懂哦！不懂的看下面配图吧。一般出现于弹幕之中，出现一些福利镜
拎得清,2019,摘要： 拎得清的来源和意思指手里拎着垃圾能分清的上海人。该含义来自上海市极其严格的垃圾分类政策：由住户自行分装，类别繁琐（核桃皮和核桃仁不是同一种垃圾），理解困难（湿纸巾是干垃圾，但干香菇是湿垃圾），检查严格（
圈圈叉叉的寓意,2021,摘要： 使用例句如下↓↓
ccav,2017,"摘要： 总是报喜不报忧,这就是ccav"
乙女,2017,摘要： 这世道，找风骚的美女易，找相貌普通的乙女难啊。
蹭炮,2014,摘要： 跟着我的富二代朋友，天天蹭吃蹭喝蹭炮，爽歪歪啊。。
绝壁,2014,摘要： 俺又考了100分啊，真是聪明绝壁了
土豆精,2019,摘要： 土豆精的来源和意思看似精明傲娇（精），实则很土很憨/呆萌、矮胖丑、皮肤黄或黑长得像土豆（土豆），让人觉得很逗（豆）的人。土豆精不一定要具备所有以上属性，但一定具备一部分以上属性：“看似很精明实则很愚笨”
磨叽,2015,"摘要： 干什么事都磨叽,除了床上干事,三下两下就完了哎"
南山必胜客,2020,摘要： 南山必胜客的来源和意思因为腾讯的法务部2013年至今已经创下29次诉讼不败的傲人成绩，因为腾讯本部在深圳南山区，诉讼大多由深圳南山区法院受理，所以被称为“南山必胜客”。——来自媒体“首同说法”南山必胜客
甩奶,2015,摘要： 低胸透视上演甩奶舞，哎又是个卖肉的女孩。。。
洋菩萨,2020,摘要： 洋菩萨的来源和意思网友对神话克苏鲁神话中章鱼头的一种调侃。由于克鲁苏神话中的章鱼头是经典形象被广大网友所认知且其作为西方北欧国家中克苏鲁神话中具有高超魔力的一种形象因此称其为洋菩萨。出处是B站18年拜年
别来无恙,2020,摘要： 别来无恙
草泥马,2014,摘要： 听说草泥马居住在“马勒戈壁”，以“卧草”为食，是“马勒戈壁”上的首要物种，它们可以战胜艰苦环境，在条件恶劣的戈壁滩上生计
一表人渣,2017,摘要： 您长的真是一表人渣啊…跟闹着玩似的
学霸,2014,摘要： 每到了考期临近时，很多学生才发现“本是复习时，却如预习般”，而此时往往会坐不安，学不进，于是乎，只能开启“学霸模式”，让自己化身“学霸”，在有限的时间内完成不可能的学习任务。
我们白着呢,2019,摘要： 我们白着呢的来源和意思我们皮肤很白呢，才不是“黑皮肤”的人哦。出自浙江卫视的亲子综艺节目《爸爸回来了》中，贾乃亮的女儿贾云馨（甜馨）的经典语录。甜馨一家人在一起吃饭，聊到了谁长得比较黑，甜馨的爷爷故意对
八婆,2014,摘要： 人家身上有几根毛你都要打听，你个死八婆！
咱也不知道 咱也不敢问,2019,摘要： 咱也不知道 咱也不敢问的来源和意思在遇到无法理解的现象或事物时使用的万能疑问句，也可能是自问自答或明知故问时的调侃用语。在各类社区中都是常见的热门内容。根据语境有极多解释方式。例如：1.我不好意思问（但
高地保安,2020,摘要： 高地保安的来源和意思指王者荣耀英雄李信缘故是网上流传了很多很多所谓的李信天秀视频，其中大多数都是在高地打的，比如李信在己方高度演出一个四杀五杀，看起来很秀的样子，实际上还是被推上高地。用于讽刺那些演员视
